# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sat Mar 19 18:05:50 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.00000 0.0900000036 1.0816895962    0.090 -1.321  3.4419  3.433    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.88e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.073 9.797 11.946 8.424
0.0152 0.01508 6.00000 0.1000000015 1.1711064577    0.100 -1.221  3.4494  3.408    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.77e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.822 9.468 11.536 8.113
0.0152 0.01508 6.00000 0.1098617315 1.2485735416    0.110 -1.138  3.4554  3.390    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.62e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.615 9.203 11.212 7.862
0.0152 0.01508 6.00000 0.1200000122 1.3193155527    0.120 -1.057  3.4612  3.371    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.62e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.413 8.951 10.907 7.623
0.0152 0.01508 6.00000 0.1354001760 1.4130986929    0.135 -0.953  3.4689  3.350    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.14e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.152 8.632 10.529 7.319
0.0152 0.01508 6.00000 0.1400000006 1.4384527206    0.140 -0.924  3.4710  3.344    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.6e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.081 8.546 10.428 7.237
0.0152 0.01508 6.00000 0.1473688781 1.4768916368    0.147 -0.885  3.4742  3.340    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.22e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.982 8.425 10.283 7.122
0.0152 0.01508 6.00000 0.1649024487 1.5590895414    0.165 -0.809  3.4809  3.340    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.793 8.189 9.998 6.899
0.0152 0.01508 6.00000 0.1705176085 1.5830422640    0.170 -0.798  3.4826  3.350    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.765 8.145 9.940 6.860
0.0152 0.01508 6.00000 0.1760640442 1.6057158709    0.176 -0.776  3.4849  3.351    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.710 8.075 9.852 6.794
